EDP        block    round    weight   idx      key      time(s)   
1.2852     128      10       110      0        2        306.141   
1.2852     128      10       110      0        3        112.067   
1.2852     128      10       110      0        4        61.158    
1.0664     128      10       49       0        2        69.245    
1.0664     128      10       49       0        3        61.220    
1.0664     128      10       49       0        4        75.278    
1.2188     128      14       110      0        2        241.003   
1.2188     128      14       110      0        3        231.159   
1.2188     128      14       110      0        4        170.574   
1.3125     128      15       115      0        2        467.683   
1.3125     128      15       115      0        3        419.167   
1.3125     128      15       115      0        4        358.926   
1.2422     128      19       119      0        2        682.838   
1.2422     128      19       119      0        3        617.473   
1.2422     128      19       119      0        4        607.116   
1.2422     128      19       120      0        2        771.540   
1.2422     128      19       120      0        3        613.500   
1.2422     128      19       120      0        4        465.330   
1.2422     128      19       120      1        2        667.228   
1.2422     128      19       120      1        3        631.629   
1.2422     128      19       120      1        4        394.923   
1.2422     128      19       120      2        2        633.528   
1.2422     128      19       120      2        3        567.548   
1.2422     128      19       120      2        4        441.058   
1.2422     128      19       120      3        2        686.975   
1.2422     128      19       120      3        3        667.226   
1.2422     128      19       120      3        4        1131.899  
1.2461     128      19       120      4        2        777.372   
1.2461     128      19       120      4        3        450.561   
1.2461     128      19       120      4        4        521.433   
1.0703     128      19       120      5        2        930.384   
1.0703     128      19       120      5        3        465.955   
1.0703     128      19       120      5        4        406.112   
1.2422     128      20       128      0        2        765.982   
1.2422     128      20       128      0        3        588.070   
1.2422     128      20       128      0        4        498.510   
1.0664     128      9        39       0        2        66.160    
1.0664     128      9        39       0        3        34.717    
1.0664     128      9        39       0        4        43.631    
1.0000     32       10       35       0        4        1.710     
0.0000     32       10       41       0        4        1.262     
1.0000     32       6        13       0        4        0.025     
1.0000     32       7        18       0        4        0.584     
1.0000     32       8        24       0        4        0.910     
1.0000     32       8        25       0        4        1.436     
1.0000     32       8        27       0        4        1.006     
1.0000     32       8        27       1        4        0.983     
1.0000     32       9        30       0        4        1.261     
1.0000     32       9        30       1        4        1.193     
1.0000     32       9        30       10       4        1.448     
1.0000     32       9        30       11       4        1.509     
1.0000     32       9        30       12       4        1.629     
1.0000     32       9        30       13       4        4.342     
1.0000     32       9        30       14       4        1.453     
1.0000     32       9        30       2        4        2.090     
1.0000     32       9        30       3        4        2.264     
1.0000     32       9        30       4        4        2.327     
1.0000     32       9        30       5        4        2.347     
1.0000     32       9        30       6        4        2.322     
1.0000     32       9        30       7        4        1.595     
1.0000     32       9        30       8        4        3.472     
1.0000     32       9        30       9        4        2.129     
1.0000     32       9        31       0        4        2.039     
1.0000     32       9        31       1        4        1.687     
1.0000     32       9        33       0        4        1.230     
1.0000     32       9        33       1        4        0.893     
1.0000     48       10       45       0        3        6.584     
1.0000     48       10       45       0        4        8.042     
0.8750     48       11       45       0        3        13.663    
0.8750     48       11       45       0        4        7.772     
0.8750     48       11       45       1        3        8.439     
0.8750     48       11       45       1        4        8.268     
0.8750     48       11       45       2        3        13.558    
0.8750     48       11       45       2        4        8.220     
0.8750     48       11       45       3        3        11.644    
0.8750     48       11       45       3        4        6.976     
0.8750     48       11       45       4        3        9.022     
0.8750     48       11       45       4        4        7.801     
0.8750     48       11       46       0        3        12.389    
0.8750     48       11       46       0        4        7.937     
0.8750     48       11       47       0        3        11.207    
0.8750     48       11       47       0        4        7.010     
1.0703     48       11       47       1        3        9.858     
1.0703     48       11       47       1        4        6.373     
1.0000     48       8        38       0        3        7.336     
1.0000     48       8        38       0        4        9.945     
1.0000     48       9        35       0        3        7.405     
1.0000     48       9        35       0        4        10.439    
1.1406     48       9        47       0        3        5.225     
1.1406     48       9        47       0        4        2.936     
1.2383     64       10       52       0        3        14.817    
1.2383     64       10       52       0        4        12.083    
1.0000     64       13       55       0        3        29.464    
1.0000     64       13       55       0        4        19.819    
1.0664     64       13       58       0        3        47.007    
1.0664     64       13       58       0        4        36.707    
1.0664     64       13       59       0        3        34.425    
1.0664     64       13       59       0        4        34.124    
1.0664     64       14       60       0        3        37.803    
1.0664     64       14       60       0        4        21.493    
1.0000     64       15       62       0        3        69.674    
1.0000     64       15       62       0        4        37.132    
1.0664     64       15       62       1        3        46.702    
1.0664     64       15       62       1        4        34.215    
1.0664     64       15       62       2        3        65.839    
1.0664     64       15       62       2        4        40.839    
1.0664     64       15       62       3        3        63.269    
1.0664     64       15       62       3        4        41.740    
1.0664     64       15       63       0        3        77.291    
1.0664     64       15       63       0        4        41.986    
1.0664     64       15       63       1        3        59.837    
1.0664     64       15       63       1        4        33.486    
1.0664     64       15       63       2        3        51.868    
1.0664     64       15       63       2        4        55.546    
1.0664     64       15       63       3        3        56.010    
1.0664     64       15       63       3        4        46.755    
1.0664     64       15       63       4        3        60.223    
1.0664     64       15       63       4        4        35.267    
1.0664     64       15       63       5        3        52.101    
1.0664     64       15       63       5        4        44.916    
1.0664     64       15       63       6        3        70.054    
1.0664     64       15       63       6        4        37.560    
1.0664     64       15       63       7        3        55.121    
1.0664     64       15       63       7        4        43.674    
1.0664     64       15       63       8        3        73.568    
1.0664     64       15       63       8        4        42.015    
1.0664     96       10       49       0        2        48.937    
1.0664     96       10       49       0        3        40.813    
1.1367     96       13       84       0        2        136.573   
1.1367     96       13       84       0        3        96.739    
1.1367     96       13       84       1        2        136.755   
1.1367     96       13       84       1        3        116.052   
