# https://eprint.iacr.org/2013/853.pdf
0x00802490, 0x10800004
0x80808020, 0x04808000
0x24000080, 0x00040080
0x80200080, 0x80000480
0x00802480, 0x00800084
0x808080A0, 0x84808480
0x24000400, 0x00042004
0x00202000, 0x00012020
0x00010000, 0x00080100
0x00080000, 0x00480800
0x00480000, 0x02084000
0x02080800, 0x124A0800
0x12480008, 0x80184008
0x880A0808, 0x88C8084C
