# https://eprint.iacr.org/2019/1318.pdf
# https://eprint.iacr.org/2019/1438.pdf
0x40004092, 0x10420040
0x82020000, 0x00120200
0x00900000, 0x00001000
0x00008000, 0x00000000
0x00000080, 0x00000080
0x80000080, 0x80000480
0x00800480, 0x00802084
0x80806080, 0x848164a0
0x040f2400, 0x20040104
0x20000820, 0x20200001
0x00000009, 0x01000000
0x08000000, 0x00000000
0x00080000, 0x00080000
0x00080800, 0x00480800
0x00480008, 0x02084008
0x0a080808, 0x1a4a0848
