# https://eprint.iacr.org/2019/1318.pdf
0x80000000, 0x40000000, 0x00408000, 0x00200080
0x40000000, 0x00408000, 0x00200080, 0x00000000
0x00408000, 0x00200080, 0x00000000, 0x01000000
0x00200080, 0x00000000, 0x01000000, 0x00810000
0x00000000, 0x01000000, 0x00810000, 0x00400100
0x01000000, 0x00810000, 0x00400100, 0x00000002
0x00810000, 0x00400100, 0x00000002, 0x00000001
0x00400100, 0x00000002, 0x00000001, 0x01020000
0x00000002, 0x00000001, 0x01020000, 0x00800200
0x00000001, 0x01020000, 0x00800200, 0x00000000
0x01020000, 0x00800200, 0x00000000, 0x04000000
0x00800200, 0x00000000, 0x04000000, 0x02040000
0x00000000, 0x04000000, 0x02040000, 0x01000400
0x04000000, 0x02040000, 0x01000400, 0x00000008
0x02040000, 0x01000400, 0x00000008, 0x00000004
0x01000400, 0x00000008, 0x00000004, 0x04080000
0x00000008, 0x00000004, 0x04080000, 0x02000800
0x00000004, 0x04080000, 0x02000800, 0x00000000
0x04080000, 0x02000800, 0x00000000, 0x10000000
0x02000800, 0x00000000, 0x10000000, 0x08100000
0x00000000, 0x10000000, 0x08100000, 0x04001000
0x10000000, 0x08100000, 0x04001000, 0x00000020
0x08100000, 0x04001000, 0x00000020, 0x00000010
0x04001000, 0x00000020, 0x00000010, 0x10200000
0x00000020, 0x00000010, 0x10200000, 0x08002000
0x00000010, 0x10200000, 0x08002000, 0x00000000
0x10200000, 0x08002000, 0x00000000, 0x40000000
0x08002000, 0x00000000, 0x40000000, 0x20400000
0x00000000, 0x40000000, 0x20400000, 0x10004000
0x40000000, 0x20400000, 0x10004000, 0x00000080
0x20400000, 0x10004000, 0x00000080, 0x00000040
0x10004000, 0x00000080, 0x00000040, 0x40800000
0x00000080, 0x00000040, 0x40800000, 0x20008000
0x00000040, 0x40800000, 0x20008000, 0x00000000
0x40800000, 0x20008000, 0x00000000, 0x00000001
0x20008000, 0x00000000, 0x00000001, 0x81000000
0x00000000, 0x00000001, 0x81000000, 0x40010000
0x00000001, 0x81000000, 0x40010000, 0x00000200
0x81000000, 0x40010000, 0x00000200, 0x00000100
0x40010000, 0x00000200, 0x00000100, 0x02000001
0x00000200, 0x00000100, 0x02000001, 0x80020000
0x00000100, 0x02000001, 0x80020000, 0x00000000
0x02000001, 0x80020000, 0x00000000, 0x00000004
0x80020000, 0x00000000, 0x00000004, 0x04000002
0x00000000, 0x00000004, 0x04000002, 0x00040001
0x00000004, 0x04000002, 0x00040001, 0x00000800
0x04000002, 0x00040001, 0x00000800, 0x00000400
0x00040001, 0x00000800, 0x00000400, 0x08000004
0x00000800, 0x00000400, 0x08000004, 0x00080002
0x00000400, 0x08000004, 0x00080002, 0x00000000
0x08000004, 0x00080002, 0x00000000, 0x00000010
0x00080002, 0x00000000, 0x00000010, 0x10000008
0x00000000, 0x00000010, 0x10000008, 0x00100004
0x00000010, 0x10000008, 0x00100004, 0x00002000
0x10000008, 0x00100004, 0x00002000, 0x00001000
0x00100004, 0x00002000, 0x00001000, 0x20000010
0x00002000, 0x00001000, 0x20000010, 0x00200008
0x00001000, 0x20000010, 0x00200008, 0x00000000
0x20000010, 0x00200008, 0x00000000, 0x00000040
0x00200008, 0x00000000, 0x00000040, 0x40000020
0x00000000, 0x00000040, 0x40000020, 0x00400010
0x00000040, 0x40000020, 0x00400010, 0x00008000
0x40000020, 0x00400010, 0x00008000, 0x00004000
0x00400010, 0x00008000, 0x00004000, 0x80000040
