============================================================
Weight loss = 8
============================================================

Summary (1528 trails):
  s   weight      value
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
  1        8   0.003906
  1        8   0.003906
 -1        8  -0.003906
  1        8   0.003906
 -1        8  -0.003906
 -1        8  -0.003906
