# https://eprint.iacr.org/2024/126.pdf
0x40104200, 0x00400240
0x00001202, 0x02000002
0x00000010, 0x10000000
0x00000000, 0x80000000
0x80000000, 0x80000004
0x80800004, 0x80800020
0x84008020, 0x80008124
0xa08481a4, 0xa0808880
0x04200401, 0x00244004
0x01202000, 0x00022020
0x00010000, 0x00100100
0x00100000, 0x00900800
0x00900800, 0x04104800
0x04104808, 0x24920808
