# https://eprint.iacr.org/2018/899.pdf
# 63 -> 61
0x08000000, 0x00000000
0x00080000, 0x00080000
0x00080800, 0x00480800
0x00480008, 0x02084008
0x0a080808, 0x1a4a0848
0x12400040, 0xc0104200
0x80020200, 0x80801206
0x80001004, 0x84008030
0x80808020, 0xa08481a4
0x80040124, 0x84200c01
0xa0a00800, 0x81a0680c
