# https://www.iacr.org/archive/fse2014/85400194/85400194.pdf
0x49200020, 0x20082100
0x00410100, 0x00000901
0x00004800, 0x00000008
0x00000040, 0x00000000
0x40000000, 0x40000000
0x40400000, 0x40400002
0x40004002, 0x42004010
0x404040d0, 0x50424052
0x80020092, 0x02100200
0x90900000, 0x80101000
0x80808000, 0x80000004
0x80808084, 0x808080a0
0x04000020, 0x00040524
0x20000524, 0x20202c04
